company;title;totalyearlycompensation;location;yearsofexperience;yearsatcompany;gender;Education
Amazon;Product Manager;162000;Vancouver, BC, Canada;9;0;Male;Master's Degree
Qualcomm;Hardware Engineer;130000;San Diego, CA;3;3;Male;PhD
Amazon;Data Scientist;500000;Seattle, WA;9;5;Female;PhD
Amazon;Product Manager;320000;Seattle, WA;10;5;Male;Master's Degree
Amazon;Software Engineering Manager;290000;Seattle, WA;11;5;Male;Master's Degree
Apple;Data Scientist;350000;Cupertino, CA;11;4;Male;PhD
Uber;Software Engineer;360000;San Francisco, CA;8;5;Male;Master's Degree
Qualcomm;Software Engineer;139000;San Diego, CA;2;2;Male;Master's Degree
Nvidia;Software Engineer;226000;Austin, TX;8;5;Male;PhD
Oracle;Software Engineering Manager;173000;Seattle, WA;23;20;Female;Master's Degree
Google;Software Engineer;259000;Mountain View, CA;5;2.5;Male;Master's Degree
Bloomberg;Software Engineer;130000;London, EN, United Kingdom;3;3;Male;Master's Degree
Amazon;Software Engineer;360000;Seattle, WA;10;5;Male;Master's Degree
Cisco;Product Manager;210000;San Jose, CA;7;1;Male;Master's Degree
Microsoft;Software Engineer;34000;Bangalore, KA, India;2;2;Male;Master's Degree
Microsoft;Software Engineer;187000;Seattle, WA;4;1;Male;Master's Degree
Lyft;Software Engineer;425000;Palo Alto, CA;15;2;Male;Master's Degree
Amazon;Software Engineer;540000;Seattle, WA;19;15;Male;Master's Degree
Amazon;Software Engineer;237000;Cupertino, CA;4;1;Female;Master's Degree
Amazon;Software Engineer;142000;Seattle, WA;0;0;Male;Master's Degree
Google;Software Engineer;500000;San Francisco, CA;14;14;Male;Master's Degree
Intel;Product Manager;277000;Hillsboro, OR;24;14;Male;Master's Degree
Amazon;Software Engineering Manager;390000;Seattle, WA;15;1;Male;Master's Degree
Google;Product Designer;452000;Mountain View, CA;20;2;Male;Master's Degree
Bloomberg;Software Engineer;94000;London, EN, United Kingdom;0;0;Male;Master's Degree
Amazon;Product Manager;169000;Seattle, WA;8;3;Male;Master's Degree
Oracle;Software Engineer;178000;Santa Clara, CA;2;2;Female;Master's Degree
Wayfair;Product Manager;235000;Boston, MA;13;0;Male;Master's Degree
Amazon;Software Engineer;149000;Seattle, WA;2;2;Female;Master's Degree
Google;Software Engineer;217000;Mountain View, CA;0;0;Male;Master's Degree
Apple;Product Manager;510000;Cupertino, CA;15;12;Male;Master's Degree
Nvidia;Hardware Engineer;490000;Santa Clara, CA;25;18;Male;Master's Degree
Amazon;Product Designer;350000;Seattle, WA;14;1;Female;PhD
Uber;Data Scientist;366000;San Francisco, CA;10;2.5;Male;Master's Degree
Facebook;Software Engineer;264000;Menlo Park, CA;0;0;Female;PhD
SAP;Software Engineer;152000;Palo Alto, CA;2;2;Male;Master's Degree
Amazon;Software Engineer;87000;London, EN, United Kingdom;3;0;Male;Master's Degree
Amazon;Product Manager;208000;Seattle, WA;10;4;Male;Master's Degree
Oracle;Software Engineer;220000;Santa Clara, CA;4;0;Male;Master's Degree
Google;Software Engineer;243000;Los Angeles, CA;2;2;Male;PhD
Microsoft;Software Engineer;205000;Redmond, WA;4;0;Male;Master's Degree
Uber;Product Designer;170000;San Francisco, CA;3;1;Female;Master's Degree
