company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,gender,Education
Facebook,Data Scientist,450000,"San Francisco, CA",11,3.7,Male,Master's Degree
Facebook,Software Engineering Manager,817000,"Seattle, WA",15,0,Male,Master's Degree
Adobe,Product Manager,216000,"San Jose, CA",8,4,NA,Master's Degree
Microsoft,Software Engineer,265000,"Redmond, WA",19,1,Male,Master's Degree
Microsoft,Software Engineer,270000,"Sunnyvale, CA",5,2,Male,PhD
Facebook,Software Engineer,375000,"Seattle, WA",10,4,Male,Master's Degree
Lyft,Software Engineer,418000,"Palo Alto, CA",10,0,Male,PhD
Google,Software Engineer,290000,"San Francisco, CA",15,2,Male,Master's Degree
Amazon,Software Engineer,380000,"San Francisco, CA",10,4,Male,Master's Degree
Facebook,Software Engineer,785000,"Seattle, WA",16,0,Male,Master's Degree
Facebook,Software Engineer,255000,"Seattle, WA",0,0,NA,PhD
Google,Software Engineer,200000,"Ontario, CA",4,4,Male,PhD
Intel,Hardware Engineer,220000,"Hillsboro, OR",8,8,Male,PhD
Apple,Hardware Engineer,213000,"Santa Clara, CA",2,2,NA,PhD
Capital One,Software Engineering Manager,200000,"Vienna, VA",8,1,Male,Master's Degree
SAP,Software Engineer,122000,"Palo Alto, CA",3,3,Male,Master's Degree
Amazon,Software Engineer,152000,"Seattle, WA",2,0,NA,Master's Degree
Microsoft,Software Engineer,170000,"Redmond, WA",6,6,Male,Master's Degree
Lyft,Software Engineer,420000,"San Francisco, CA",5,0,Male,Master's Degree
Microsoft,Software Engineering Manager,360000,"Redmond, WA",18,0,Female,Master's Degree
Twitter,Software Engineer,240000,"Seattle, WA",5,2,Male,Master's Degree
Google,Software Engineer,230000,"Kirkland, WA",6,0,Male,Master's Degree
Facebook,Software Engineer,675000,"Seattle, WA",17,0,Male,Master's Degree
Facebook,Software Engineer,665000,"Bellevue, WA",15,0,Male,Master's Degree
Facebook,Software Engineer,700000,"Menlo Park, CA",15,1,Female,PhD
Microsoft,Software Engineer,200000,"Seattle, WA",9,7,NA,Master's Degree
Amazon,Software Engineer,340000,"Seattle, WA",5,0,Male,Master's Degree
Microsoft,Software Engineer,287000,"Sunnyvale, CA",3,0,NA,Master's Degree
LinkedIn,Software Engineer,310000,"Sunnyvale, CA",5,0,Male,Master's Degree
Goldman Sachs,Software Engineer,310000,"New York, NY",10,6,Male,Master's Degree
Microsoft,Software Engineer,235000,"Redmond, WA",11,10,Male,Master's Degree
Microsoft,Software Engineer,650000,"San Francisco, CA",18,8,Male,Master's Degree
Nvidia,Hardware Engineer,285000,"Santa Clara, CA",15,7,Male,Master's Degree
Facebook,Software Engineer,284000,"Seattle, WA",10,1,Male,PhD
Walmart Labs,Software Engineer,120000,"Reston, VA",5,2,Male,Master's Degree
Salesforce,Software Engineer,207000,"San Francisco, CA",6,2.5,Other,Master's Degree
Google,Software Engineer,254000,"Tel Aviv, TA, Israel",10,1,Male,Master's Degree
Google,Software Engineer,213000,"Mountain View, CA",1,0,Male,Master's Degree
Google,Software Engineer,457000,"Mountain View, CA",15,5,NA,Master's Degree
Microsoft,Software Engineer,270000,"Redmond, WA",15,0,Male,Master's Degree
SAP,Software Engineer,160000,"Bentonville, AR",11,2,Male,Master's Degree
Google,Software Engineer,282000,"New York, NY",5,2,Male,PhD
Amazon,Software Engineer,211000,"Seattle, WA",8,6,Male,Master's Degree
Microsoft,Software Engineer,280000,"Sunnyvale, CA",6,2,Male,PhD
Google,Software Engineer,210000,"Sunnyvale, CA",4,1,Male,Master's Degree
Intel,Solution Architect,271000,"Hillsboro, OR",10,1,Male,Master's Degree
Amazon,Software Engineer,139000,"Seattle, WA",0,0,Male,
Apple,Data Scientist,230000,"Cupertino, CA",10,0,Male,PhD
Uber,Software Engineer,245000,"Palo Alto, CA",3,0,Male,Master's Degree
Uber,Software Engineer,245000,"Palo Alto, CA",1,0,Male,Master's Degree
Amazon,Product Manager,240000,"San Francisco, CA",15,3,Male,Master's Degree
Facebook,Product Manager,460000,"Menlo Park, CA",15,0,Male,Master's Degree
Facebook,Software Engineer,227000,"San Francisco, CA",2,0,Male,Master's Degree
Amazon,Software Engineer,252000,"Seattle, WA",6,6,Male,Master's Degree
Amazon,Software Engineer,190000,"Seattle, WA",4,4,Male,Master's Degree
Salesforce,Software Engineer,280000,"San Francisco, CA",10,2,Male,Master's Degree
Google,Product Designer,485000,"Mountain View, CA",11,7,Male,Master's Degree
Netflix,Software Engineer,405000,"Los Gatos, CA",9,0,Female,Master's Degree
Cisco,Data Scientist,280000,"San Francisco, CA",5,0,Male,PhD
Netflix,Data Scientist,700000,"Los Angeles, CA",7,4,Male,PhD
VMware,Software Engineering Manager,337000,"Palo Alto, CA",19,11,Female,Master's Degree
Google,Software Engineer,208000,"New York, NY",2,1.5,Male,Master's Degree
Qualcomm,Software Engineer,175000,"San Diego, CA",0,0,Male,PhD
Amazon,Software Engineer,172000,"Seattle, WA",3,3,Male,Master's Degree
Facebook,Software Engineer,210000,"Dublin, DN, Ireland",10,0,Male,Master's Degree
Amazon,Software Engineer,227000,"New York, NY",16,1,NA,Master's Degree
Facebook,Software Engineer,335000,"Menlo Park, CA",12,2,Male,Master's Degree
Amazon,Software Engineer,200000,"Seattle, WA",3,3,Male,Master's Degree
VMware,Software Engineer,170000,"Palo Alto, CA",3,0,Female,Master's Degree
Microsoft,Software Engineer,200000,"Bellevue, WA",7,5,Male,Master's Degree
Intel,Software Engineer,142000,"Hillsboro, OR",9,9,Male,Master's Degree
Facebook,Software Engineer,327000,"Seattle, WA",7,2,Male,Master's Degree
Goldman Sachs,Software Engineer,230000,"Jersey City, NJ",6,0,Male,Master's Degree
Amazon,Product Manager,60000,"Bangalore, KA, India",5,0,Male,Master's Degree
Nvidia,Software Engineer,199000,"Santa Clara, CA",3,0,Male,Master's Degree
JPMorgan Chase,Software Engineer,360000,"New York, NY",13,3,Male,Master's Degree
Walmart Labs,Software Engineer,120000,"Reston, VA",5,2,Male,Master's Degree
Goldman Sachs,Software Engineer,131000,"London, EN, United Kingdom",5,2,NA,Master's Degree
Apple,Software Engineer,270000,"Cupertino, CA",8,2,Male,Master's Degree
Google,Product Manager,400000,"Boston, MA",8,4,Male,Master's Degree
Google,Software Engineer,291000,"Seattle, WA",7,3.5,Male,Master's Degree
Twitter,Product Manager,175000,"San Francisco, CA",7,1,Male,Master's Degree
PayPal,Software Engineer,110000,"Scottsdale, AZ",0,1,NA,Master's Degree
Twitter,Software Engineer,655000,"San Francisco, CA",4,4,NA,PhD
Amazon,Product Manager,162000,"Vancouver, BC, Canada",9,0,Male,Master's Degree
SAP,Software Engineer,86000,"Munich, BY, Germany",10,1,Male,Master's Degree
Qualcomm,Hardware Engineer,130000,"San Diego, CA",3,3,Male,PhD
LinkedIn,Software Engineer,465000,"San Francisco, CA",6,2,NA,Master's Degree
Salesforce,Software Engineer,175000,"Tampa, FL",18,1,Male,Master's Degree
Amazon,Data Scientist,500000,"Seattle, WA",9,5,Female,PhD
Amazon,Product Manager,320000,"Seattle, WA",10,5,Male,Master's Degree
Amazon,Software Engineering Manager,290000,"Seattle, WA",11,5,Male,Master's Degree
Apple,Data Scientist,350000,"Cupertino, CA",11,4,Male,PhD
Uber,Software Engineer,360000,"San Francisco, CA",8,5,Male,Master's Degree
Capital One,Software Engineering Manager,150000,"Plano, TX",7,3,Male,Master's Degree
Qualcomm,Software Engineer,139000,"San Diego, CA",2,2,Male,Master's Degree
Nvidia,Software Engineer,226000,"Austin, TX",8,5,Male,PhD
Oracle,Software Engineering Manager,173000,"Seattle, WA",23,20,Female,Master's Degree
Google,Software Engineer,259000,"Mountain View, CA",5,2.5,Male,Master's Degree
PayPal,Software Engineer,120000,"Scottsdale, AZ",2,0,Male,Master's Degree
Oracle,Software Engineer,155000,"Redwood City, CA",1,1,NA,Master's Degree
Deloitte,Software Engineer,65000,"Orlando, FL",0,1,Male,Master's Degree
Bloomberg,Software Engineer,130000,"London, EN, United Kingdom",3,3,Male,Master's Degree
Amazon,Software Engineer,360000,"Seattle, WA",10,5,Male,Master's Degree
Cisco,Product Manager,210000,"San Jose, CA",7,1,Male,Master's Degree
Microsoft,Software Engineer,34000,"Bangalore, KA, India",2,2,Male,Master's Degree
Microsoft,Software Engineer,187000,"Seattle, WA",4,1,Male,Master's Degree
Lyft,Software Engineer,425000,"Palo Alto, CA",15,2,Male,Master's Degree
Amazon,Software Engineer,540000,"Seattle, WA",19,15,Male,Master's Degree
Google,Hardware Engineer,472000,"Mountain View, CA",17,5,Other,Master's Degree
Amazon,Software Engineer,237000,"Cupertino, CA",4,1,Female,Master's Degree
Amazon,Software Engineer,142000,"Seattle, WA",0,0,Male,Master's Degree
Google,Software Engineer,500000,"San Francisco, CA",14,14,Male,Master's Degree
Intel,Product Manager,277000,"Hillsboro, OR",24,14,Male,Master's Degree
Microsoft,Software Engineer,221000,"Redmond, WA",4,1,NA,Master's Degree
Amazon,Software Engineering Manager,390000,"Seattle, WA",15,1,Male,Master's Degree
Google,Product Designer,452000,"Mountain View, CA",20,2,Male,Master's Degree
Microsoft,Software Engineer,163000,"Redmond, WA",7,2,NA,Master's Degree
Bloomberg,Software Engineer,94000,"London, EN, United Kingdom",0,0,Male,Master's Degree
